company_id,type,rule_id,text,confidence_pct
C001,pro,P02,Strong free cash flow generation over 5 years signals healthy business fundamentals,88
C001,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,74
C001,pro,P01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,92
C001,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,86
C001,con,C_FALLBACK,"Valuation, leverage, or growth signals should be monitored against sector peers",72
C001,con,C12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,78
C002,pro,P02,Strong free cash flow generation over 5 years signals healthy business fundamentals,88
C002,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,75
C002,pro,P01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,92
C002,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,86
C002,con,C_FALLBACK,"Valuation, leverage, or growth signals should be monitored against sector peers",72
C002,con,C12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,78
C003,pro,P02,Strong free cash flow generation over 5 years signals healthy business fundamentals,88
C003,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,75
C003,pro,P01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,92
C003,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,86
C003,con,C_FALLBACK,"Valuation, leverage, or growth signals should be monitored against sector peers",72
C003,con,C12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,78
C004,pro,P02,Strong free cash flow generation over 5 years signals healthy business fundamentals,88
C004,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,75
C004,pro,P01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,92
C004,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,86
C004,con,C_FALLBACK,"Valuation, leverage, or growth signals should be monitored against sector peers",72
C004,con,C12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,78
C005,pro,P02,Strong free cash flow generation over 5 years signals healthy business fundamentals,88
C005,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,75
C005,pro,P01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,92
C005,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,86
C005,con,C_FALLBACK,"Valuation, leverage, or growth signals should be monitored against sector peers",72
C005,con,C12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,78
C006,pro,P02,Strong free cash flow generation over 5 years signals healthy business fundamentals,88
C006,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,75
C006,pro,P01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,92
C006,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,86
C006,con,C_FALLBACK,"Valuation, leverage, or growth signals should be monitored against sector peers",72
C006,con,C12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,78
C007,pro,P02,Strong free cash flow generation over 5 years signals healthy business fundamentals,88
C007,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,75
C007,pro,P01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,92
C007,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,86
C007,con,C_FALLBACK,"Valuation, leverage, or growth signals should be monitored against sector peers",72
C007,con,C12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,78
C008,pro,P02,Strong free cash flow generation over 5 years signals healthy business fundamentals,88
C008,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,76
C008,pro,P01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,92
C008,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,86
C008,con,C_FALLBACK,"Valuation, leverage, or growth signals should be monitored against sector peers",72
C008,con,C12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,78
C009,pro,P02,Strong free cash flow generation over 5 years signals healthy business fundamentals,88
C009,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,73
